1,홍길동,95,86,67,248,82.6666666667,0
2,유관순,73,96,81,250,83.3333333333,0
3,이순신,55,77,68,200,66.6666666667,0
4,강감찬,62,90,80,232,77.3333333333,0
5,김구,71,80,97,248,82.6666666667,0
6,김유신,95,94,58,247,82.3333333333,0
7,홍길자,88,95,97,280,93.3333333333,0
8,홍길순,77,60,89,226,75.3333333333,0
9,길동스,55,89,53,197,65.6666666667,0
10,관순스,92,72,56,220,73.3333333333,0
11,순신스,94,92,259,86.3333333333,0
12,Daune,55,82,99,236,78.6666666667,0
13,Mickey,66,74,61,201,67,0
14,Evvie,60,56,81,197,65.6666666667,0
15,Blinny,100,64,54,218,72.6666666667,0
16,Brana,56,98,54,208,69.3333333333,0
17,Artemus,100,51,90,241,80.3333333333,0
18,Bartolemo,69,76,75,220,73.3333333333,0
19,Shandeigh,72,84,68,224,74.6666666667,0
20,Hermia,79,67,89,235,78.3333333333,0
21,Lefty,73,80,99,252,84,0
22,Shaun,85,66,54,205,68.3333333333,0
23,Giorgio,81,57,92,230,76.6666666667,0
24,Quill,50,93,64,207,69,0
25,Hadlee,69,76,72,217,72.3333333333,0
26,Stormie,67,100,88,255,85,0
27,Deanna,78,54,66,198,66,0
28,Faun,91,53,95,239,79.6666666667,0
29,Bartolemo,63,68,99,230,76.6666666667,0
30,Skye,92,72,75,239,79.6666666667,0
31,Caro,88,77,52,217,72.3333333333,0
32,De,54,75,71,200,66.6666666667,0
33,Baron,95,61,91,247,82.3333333333,0
34,Sinclair,100,94,95,289,96.3333333333,0
35,Krysta,81,59,83,223,74.3333333333,0
36,Alix,76,89,72,237,79,0
37,Caye,94,91,83,268,89.3333333333,0
38,Cissy,70,76,81,227,75.6666666667,0
39,Kelsey,74,82,86,242,80.6666666667,0
40,Kari,56,77,91,224,74.6666666667,0
41,Pacorro,59,58,51,168,56,0
42,Elnore,98,67,82,247,82.3333333333,0
43,Torry,95,67,62,224,74.6666666667,0
44,Roi,95,76,91,262,87.3333333333,0
45,Lauretta,51,63,78,192,64,0
46,Morley,94,55,89,238,79.3333333333,0
47,Bert,94,100,57,251,83.6666666667,0
48,Juli,64,87,100,251,83.6666666667,0
49,Hattie,57,70,62,189,63,0
50,Gertrude,98,68,65,231,77,0
